HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
810295,"Bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil",69992,"Molybdenum, wrought, & articles of molybdenum, n.e.s."
810296,Wire,69992,"Molybdenum, wrought, & articles of molybdenum, n.e.s."
810297,Waste and scrap,68912,"Molybdenum, unwrought; molybdenum waste & scrap"
810299,Other,69992,"Molybdenum, wrought, & articles of molybdenum, n.e.s."
810320,"Unwrought tantalum, including bars and rods obtained simply by sintering; powders",68913,"Tantalum, unwrought (including bars & rods obtained simply by sintering); waste & scrap; powders"
810330,Waste and scrap,68913,"Tantalum, unwrought (including bars & rods obtained simply by sintering); waste & scrap; powders"
810390,Other,69993,"Tantalum, wrought, & articles of tantalum, n.e.s."
810411,Containing at least 99.8 % by weight of magnesium,68915,"Magnesium, unwrought"
810419,Other,68915,"Magnesium, unwrought"
810420,Waste and scrap,68914,Magnesium waste & scrap
810430,"Raspings, turnings and granules, graded according to size; powders",69994,"Magnesium, wrought, & articles of magnesium, n.e.s."
810490,Other,69994,"Magnesium, wrought, & articles of magnesium, n.e.s."
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; powders,68981,"Cobalt mattes & other intermediate products of cobalt metallurgy; cobalt, unwrought; waste & scrap; powders"
810530,Waste and scrap,68981,"Cobalt mattes & other intermediate products of cobalt metallurgy; cobalt, unwrought; waste & scrap; powders"
810590,Other,69981,"Cobalt, wrought, & articles of cobalt, n.e.s."
810600,"Bismuth and articles thereof, including waste and scrap.",68992,Bismuth & articles thereof (including waste & scrap)
810720,Unwrought cadmium; powders,68982,"Cadmium, unwrought; cadmium waste & scrap; powders"
810730,Waste and scrap,68982,"Cadmium, unwrought; cadmium waste & scrap; powders"
810790,Other,69983,"Cadmium, wrought, & articles of cadmium, n.e.s."
810820,Unwrought titanium; powders,68983,"Titanium, unwrought; titanium waste & scrap; powders"
810830,Waste and scrap,68983,"Titanium, unwrought; titanium waste & scrap; powders"
810890,Other,69985,"Titanium, wrought, & articles of titanium, n.e.s."
810920,Unwrought zirconium; powders,68984,"Zirconium, unwrought; zirconium waste & scrap; powders"
810930,Waste and scrap,68984,"Zirconium, unwrought; zirconium waste & scrap; powders"
810990,Other,69987,"Zirconium, wrought, & articles of zirconium, n.e.s."
811010,Unwrought antimony; powders,68993,Antimony & articles thereof (including waste & scrap)
811020,Waste and scrap,68993,Antimony & articles thereof (including waste & scrap)
811090,Other,68993,Antimony & articles thereof (including waste & scrap)
811100,"Manganese and articles thereof, including waste and scrap.",68994,Manganese & articles thereof (including waste & scrap)
811212,Unwrought; powders,68991,"Beryllium, unwrought; beryllium waste & scrap; powders"
811213,Waste and scrap,68991,"Beryllium, unwrought; beryllium waste & scrap; powders"
811219,Other,69995,"Beryllium, wrought, & articles of beryllium, n.e.s."
811221,Unwrought; powders,68995,Chromium & articles thereof (including waste & scrap)
811222,Waste and scrap,68995,Chromium & articles thereof (including waste & scrap)
811229,Other,68995,Chromium & articles thereof (including waste & scrap)
811230,Germanium,68998,"Other base metals, unwrought; waste & scrap; powders"
811240,Vanadium,68998,"Other base metals, unwrought; waste & scrap; powders"
811251,Unwrought; powders,68998,"Other base metals, unwrought; waste & scrap; powders"
811252,Waste and scrap,68998,"Other base metals, unwrought; waste & scrap; powders"
811259,Other,69999,"Base metals, wrought, n.e.s., & articles of these metals, n.e.s."
811292,Unwrought; waste and scrap; powders,68998,"Other base metals, unwrought; waste & scrap; powders"
811299,Other,69999,"Base metals, wrought, n.e.s., & articles of these metals, n.e.s."
811300,"Cermets and articles thereof, including waste and scrap.",68999,Cermets & articles thereof (including waste & scrap)
820110,Spades and shovels,6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820120,Forks,6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820130,"Mattocks, picks, hoes and rakes",6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820140,"Axes, bill hooks and similar hewing tools",6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820150,Secateurs and similar onehanded pruners and shears (including poultry shears),6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820160,"Hedge shears, twohanded pruning shears and similar twohanded shears",6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820190,"Other hand tools of a kind used in agriculture, horticulture or forestry",6951,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks & rakes; axes, billhooks & similar hewing tools; secateurs & pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges & other tools of a kind used in ag"
820210,Hand saws,69521,Handsaws
820220,Band saw blades,69551,Band-saw blades
820231,With working part of steel,69552,Circular saw blades (including slitting/slotting saw blades) with working part of steel
820239,"Other, including parts",69553,Circular saw blades (including slitting/slotting saw blades) with working part of materials other than steel.
820240,Chain saw blades,69554,Chain-saw blades
820291,"Straight saw blades, for working metal",69555,"Straight saw blades, for working metal"
820299,Other,69559,Other saw blades
820310,"Files, rasps and similar tools",69522,"Files, rasps & similar tools"
820320,"Pliers (including cutting pliers), pincers, tweezers and similar tools",69523,"Pliers (including cutting pliers), pincers, tweezers, metal-cutting shears, pipe cutters, bolt croppers, perforating punches & similar tools"
820330,Metal cutting shears and similar tools,69523,"Pliers (including cutting pliers), pincers, tweezers, metal-cutting shears, pipe cutters, bolt croppers, perforating punches & similar tools"
820340,"Pipecutters, bolt croppers, perforating punches and similar tools",69523,"Pliers (including cutting pliers), pincers, tweezers, metal-cutting shears, pipe cutters, bolt croppers, perforating punches & similar tools"
820411,Nonadjustable,6953,"Spanners & wrenches, hand-operated (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with/without handles."
820412,Adjustable,6953,"Spanners & wrenches, hand-operated (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with/without handles."
820420,"Interchangeable spanner sockets, with or without handles",6953,"Spanners & wrenches, hand-operated (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with/without handles."
