HS 2017,BEC,Relationship
291560,22,n:1
291570,22,n:1
291590,22,n:1
291611,22,n:1
291612,22,n:1
291613,22,n:1
291614,22,n:1
291615,22,n:1
291616,22,n:1
291619,22,n:1
291620,22,n:1
291631,22,n:1
291632,22,n:1
291634,22,n:1
291639,22,n:1
291711,22,n:1
291712,22,n:1
291713,22,n:1
291714,22,n:1
291719,22,n:1
291720,22,n:1
291732,22,n:1
291733,22,n:1
291734,22,n:1
291735,22,n:1
291736,22,n:1
291737,22,n:1
291739,22,n:1
291811,22,n:1
291812,22,n:1
291813,22,n:1
291814,22,n:1
291815,22,n:1
291816,22,n:1
291817,22,n:1
291818,22,n:1
291819,22,n:1
291821,22,n:1
291822,22,n:1
291823,22,n:1
291829,22,n:1
291830,22,n:1
291891,22,n:1
291899,22,n:1
291910,22,n:1
291990,22,n:1
292011,22,n:1
292019,22,n:1
292021,22,n:1
292022,22,n:1
292023,22,n:1
292024,22,n:1
292029,22,n:1
292030,22,n:1
292090,22,n:1
292111,22,n:1
292112,22,n:1
292113,22,n:1
292114,22,n:1
292119,22,n:1
292121,22,n:1
292122,22,n:1
292129,22,n:1
292130,22,n:1
292141,22,n:1
292142,22,n:1
292143,22,n:1
292144,22,n:1
292145,22,n:1
292146,22,n:1
292149,22,n:1
292151,22,n:1
292159,22,n:1
